39.8,39.8,39.8,29.803,39.8,39.8,27.377,27.156,26.957,25.819,26.957,25.513,26.311,26.957,26.957,27.377,27.377,26.311,24.864,26.051,26.455,26.051,27.624,26.957,27.156
39.8,39.8,39.8,39.8,39.8,39.8,29.803,29.803,28.63,27.906,27.156,27.906,29.803,39.8,29.803,29.127,29.127,27.377,28.63,27.906,27.906,29.803,29.803,29.803,29.803
39.8,39.8,30.891,39.8,39.8,30.891,39.8,28.235,27.906,27.156,26.776,28.63,27.156,27.906,28.63,27.624,28.63,27.624,27.156,26.311,27.624,26.455,27.624,26.957,27.156
39.8,39.8,39.8,39.8,39.8,39.8,29.803,29.127,29.803,29.803,27.906,28.235,29.803,39.8,30.891,30.891,29.127,27.377,28.63,29.127,28.63,29.127,30.891,28.63,30.891
39.8,39.8,39.8,29.127,30.891,39.8,27.906,29.803,28.63,26.311,26.957,28.235,28.235,28.63,29.803,29.127,28.63,27.377,26.609,25.513,27.377,29.127,27.906,27.377,29.127
39.8,39.8,39.8,39.8,39.8,39.8,29.803,29.127,29.803,29.127,27.377,28.63,29.803,39.8,30.891,29.803,29.127,27.624,28.235,28.63,28.63,30.891,29.803,28.63,30.891
39.8,39.8,30.891,30.891,39.8,39.8,27.156,27.156,25.819,25.246,24.208,25.331,26.776,25.331,26.051,25.513,25.819,25.42,24.157,24.54,25.712,24.935,25.009,24.935,25.932
39.8,39.8,30.891,30.891,39.8,39.8,26.957,26.776,25.932,25.42,24.26,25.61,26.957,26.455,26.609,26.455,26.776,25.61,24.729,24.795,26.051,25.42,25.712,25.61,26.957
39.8,39.8,30.891,39.8,39.8,39.8,30.891,29.803,28.63,29.127,27.156,29.127,30.891,39.8,28.63,30.891,29.803,29.803,27.906,27.377,28.63,30.891,29.127,27.906,29.803
39.8,39.8,39.8,30.891,39.8,39.8,28.63,29.803,27.906,26.776,25.819,26.609,30.891,27.377,27.156,27.156,27.377,26.177,26.311,26.455,26.609,26.776,27.624,26.177,29.127
39.8,39.8,39.8,39.8,30.891,39.8,30.891,29.803,29.127,27.377,27.906,28.63,29.803,29.127,29.803,28.235,29.127,26.609,27.624,26.957,26.609,27.156,27.624,29.127,28.63
39.8,39.8,39.8,30.891,30.891,39.8,28.235,29.127,27.377,26.311,26.051,26.455,28.235,27.906,29.127,27.624,27.624,25.246,26.051,25.819,26.455,26.957,27.624,26.776,29.127
39.8,39.8,30.891,39.8,39.8,30.891,29.803,29.803,27.624,27.156,26.177,26.455,27.624,27.906,39.8,27.377,27.624,27.156,26.177,26.609,26.957,26.051,27.624,26.776,27.377
39.8,39.8,30.891,39.8,39.8,30.891,29.127,26.957,26.051,25.513,24.795,24.935,25.246,25.819,26.957,27.624,26.957,25.61,24.481,24.208,24.935,25.513,25.331,25.932,25.712
39.8,39.8,39.8,39.8,29.803,39.8,28.235,26.177,26.311,25.085,24.424,25.085,25.246,25.513,26.957,26.957,25.61,26.957,24.729,24.54,24.367,25.331,25.085,25.932,26.609
39.8,39.8,30.891,30.891,30.891,39.8,26.776,25.712,25.246,23.668,23.79,24.424,24.795,25.712,25.513,26.177,25.331,24.729,23.668,23.515,23.833,24.795,24.935,25.42,24.935
39.8,39.8,29.803,26.957,28.235,27.906,26.455,24.54,23.833,22.585,22.246,21.976,23.055,23.372,25.085,24.059,24.481,24.208,23.338,21.976,22.097,22.656,23.272,23.668,23.876
39.8,39.8,39.8,39.8,39.8,39.8,39.8,39.8,39.8,39.8,39.8,39.8,39.8,39.8,39.8,39.8,39.8,39.8,39.8,39.8,39.8,39.8,39.8,39.8,39.8
39.8,39.8,30.891,30.891,39.8,39.8,27.377,26.311,25.085,23.876,24.157,24.729,25.61,25.819,26.177,26.311,26.177,24.935,23.876,23.92,23.876,24.864,25.246,25.712,25.085
39.8,39.8,29.803,26.957,27.906,28.235,26.311,24.481,23.708,22.73,22.285,21.862,23.025,23.338,24.864,23.92,24.26,24.108,23.372,22.027,21.959,22.585,23.305,23.708,23.876
39.8,39.8,39.8,30.891,39.8,39.8,28.235,26.957,26.455,25.246,26.776,25.085,26.177,25.932,27.377,27.156,27.156,25.331,25.513,24.935,25.164,25.712,26.957,26.455,25.819
39.8,39.8,30.891,29.803,39.8,39.8,26.776,26.455,25.085,24.26,24.26,24.729,25.932,26.609,25.932,26.455,26.311,26.051,23.628,24.108,24.54,24.795,25.61,25.932,25.712
39.8,39.8,29.127,27.156,28.235,27.906,26.311,24.424,23.749,22.43,21.893,21.893,22.656,22.73,23.876,23.338,23.876,23.668,22.997,21.815,21.739,22.285,23.055,23.207,23.305
39.8,39.8,39.8,39.8,39.8,39.8,39.8,28.63,28.235,27.156,27.624,28.63,27.624,28.235,28.235,29.127,30.891,28.235,28.235,26.776,28.235,26.776,27.624,27.624,27.906
